영화명,개봉일,관객수,스크린수,대표국적,배급사
하울의 움직이는 성,2004-12-23,"1,746,165",65.0,일본,"(주)이수C&E,(주)시네마서비스"
연애의 목적,2005-06-10,"1,735,977",75.0,한국,씨제이엔터테인먼트
주먹이 운다(Crying Fist),2005-04-01,"1,728,477",71.0,한국,쇼이스트(주)
스타워즈 에피소드3 - 시스의복수,2005-05-26,"1,722,800",90.0,미국,이십세기폭스필름코퍼레이션
작업의 정석,2005-12-21,"1,672,862",75.0,한국,(주)쇼박스
마다가스카,2005-07-14,"1,620,031",109.0,미국,씨제이엔터테인먼트
간 큰 가족,2005-06-09,"1,593,038",75.0,한국,(주)쇼박스
야수와 미녀,2005-10-27,"1,561,282",54.0,한국,(주)쇼박스
B형 남자친구,2005-02-03,"1,485,454",47.0,한국,롯데쇼핑㈜롯데엔터테인먼트
킹덤 오브 헤븐,2005-05-04,"1,484,000",74.0,미국,이십세기폭스필름코퍼레이션
찰리와 초콜릿 공장,2005-09-16,"1,372,700",41.0,미국,워너브러더스 코리아(주)
분홍신,2005-06-30,"1,371,122",54.0,한국,(주)쇼박스
알렉산더,2004-12-31,"1,348,088",69.0,미국,(주)시네마서비스
달콤한 인생,2005-04-01,"1,271,595",82.0,한국,씨제이엔터테인먼트
미스터 소크라테스,2005-11-10,"1,261,965",52.0,한국,롯데쇼핑㈜롯데엔터테인먼트
천군,2005-07-15,"1,232,992",58.0,한국,(주)쇼박스
내셔널 트레져,2004-12-31,"1,212,037",46.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
형사; Duelist,2005-09-08,"1,203,146",88.0,한국,코리아픽쳐스(주)
파송송 계란탁,2005-02-18,"1,193,150",48.0,한국,씨제이엔터테인먼트
몽정기2,2005-01-14,"1,188,815",41.0,한국,롯데쇼핑㈜롯데엔터테인먼트
연애술사,2005-05-20,"1,163,274",55.0,한국,씨제이엔터테인먼트
"안녕, 형아",2005-05-27,"1,143,136",45.0,한국,(주)시네마서비스
